"","x"
"1",0.00847457627118644
"2",0.0272626694915254
"3",0.0588192158075424
"4",0.0268305634923407
"5",0.0478231997103466
"6",0.0284453229981088
"7",0.0395058204996941
"8",0.00855234745762712
"9",0.0199759070585254
"10",0.0157985101824086
"11",0.0107138153375834
"12",0.0128044085953578
"13",0.0095719786560531
"14",0.0461394236307373
"15",0.0166670209550768
"16",0.0213346266083201
"17",0.0118610152902566
"18",0.0147902842376068
"19",0.0319510651363397
"20",0.0115705134735918
"21",0.014312797049245
"22",0.00888307927720738
"23",0.0477773933815809
"24",0.0129508669363089
"25",0.0157396194355281
"26",0.0394825611725141
"27",0.00985103801887548
"28",0.0472682126160252
